community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
400,32,mid,moderate_entry_barrier,HOA Management,"['community management', 'association management', 'HOA management']","['onsite assistant', 'manager']",medium,1.0,1.0,0.333,0.778,3,"onsite, manager, community, association, atx2024, maintenance, assistant, ofl2024, general, technician, eco2024, hoa","[{""community_id"": 400, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HOA Management"", ""defining_skills"": [""community management"", ""association management"", ""part-time work""], ""defining_responsibility_signals"": [""onsite assistant"", ""manager""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 400, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HOA Management\"", \""defining_skills\"": [\""community management\"", \""association management\"", \""part-time work\""], \""defining_responsibility_signals\"": [\""onsite assistant\"", \""manager\""], \""confidence\"": \""medium\""}""}, {""community_id"": 400, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HOA Association Manager"", ""defining_skills"": [""community management"", ""association management"", ""HOA management""], ""defining_responsibility_signals"": [""manage community"", ""support team members""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 400, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HOA Association Manager\"", \""defining_skills\"": [\""community management\"", \""association management\"", \""HOA management\""], \""defining_responsibility_signals\"": [\""manage community\"", \""support team members\""], \""confidence\"": \""medium\""}""}, {""community_id"": 400, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HOA Community Manager"", ""defining_skills"": [""HOA management"", ""technology-based"", ""career advancement""], ""defining_responsibility_signals"": [""manage"", ""lead team""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 400, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HOA Community Manager\"", \""defining_skills\"": [\""HOA management\"", \""technology-based\"", \""career advancement\""], \""defining_responsibility_signals\"": [\""manage\"", \""lead team\""], \""confidence\"": \""medium\""}""}]",17
401,32,mid,moderate_entry_barrier,Fitness Specialists,"['health fitness', 'exercise', 'group instructor']","['supervise and monitor exercise', 'help members meet healthy living goals']",medium,1.0,1.0,0.667,0.889,3,"fitness, specialist, trainer, personal, exercise, substitute, group, instructor, health, manager, lead, training","[{""community_id"": 401, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Fitness Specialists"", ""defining_skills"": [""health fitness"", ""exercise"", ""group instructor""], ""defining_responsibility_signals"": [""supervise and monitor exercise"", ""help members meet healthy living goals""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 401, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Fitness Specialists\"", \""defining_skills\"": [\""health fitness\"", \""exercise\"", \""group instructor\""], \""defining_responsibility_signals\"": [\""supervise and monitor exercise\"", \""help members meet healthy living goals\""], \""confidence\"": \""medium\""}""}, {""community_id"": 401, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Fitness Specialists"", ""defining_skills"": [""health fitness"", ""exercise"", ""group training""], ""defining_responsibility_signals"": [""supervise exercise participants"", ""help members meet health goals""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 401, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Fitness Specialists\"", \""defining_skills\"": [\""health fitness\"", \""exercise\"", \""group training\""], \""defining_responsibility_signals\"": [\""supervise exercise participants\"", \""help members meet health goals\""], \""confidence\"": \""medium\""}""}, {""community_id"": 401, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Fitness Trainers"", ""defining_skills"": [""personal training"", ""group exercise"", ""client acquisition""], ""defining_responsibility_signals"": [""deliver positive fitness experience"", ""lead small group training sessions""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 401, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Fitness Trainers\"", \""defining_skills\"": [\""personal training\"", \""group exercise\"", \""client acquisition\""], \""defining_responsibility_signals\"": [\""deliver positive fitness experience\"", \""lead small group training sessions\""], \""confidence\"": \""medium\""}""}]",17
402,32,mid,moderate_entry_barrier,Medical Customer Service,"['phlebotomy', 'donor screening', 'medical training']","['paid training', 'medical customer service']",medium,1.0,1.0,0.333,0.778,3,"center, phlebotomist, training, nurse, medical, required, manager, relocation, entry, donor, plasma, screener","[{""community_id"": 402, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Customer Service"", ""defining_skills"": [""medical customer service"", ""training"", ""donor screener""], ""defining_responsibility_signals"": [""paid training"", ""medical customer service""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 402, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Customer Service\"", \""defining_skills\"": [\""medical customer service\"", \""training\"", \""donor screener\""], \""defining_responsibility_signals\"": [\""paid training\"", \""medical customer service\""], \""confidence\"": \""medium\""}""}, {""community_id"": 402, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Donor Center"", ""defining_skills"": [""phlebotomy"", ""donor screening"", ""medical training""], ""defining_responsibility_signals"": [""manage donors"", ""ensure safety""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 402, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Donor Center\"", \""defining_skills\"": [\""phlebotomy\"", \""donor screening\"", \""medical training\""], \""defining_responsibility_signals\"": [\""manage donors\"", \""ensure safety\""], \""confidence\"": \""medium\""}""}, {""community_id"": 402, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Plasma Center Staff"", ""defining_skills"": [""phlebotomy"", ""donor screening"", ""medical training""], ""defining_responsibility_signals"": [""assist in medical procedures"", ""maintain donor records""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 402, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Plasma Center Staff\"", \""defining_skills\"": [\""phlebotomy\"", \""donor screening\"", \""medical training\""], \""defining_responsibility_signals\"": [\""assist in medical procedures\"", \""maintain donor records\""], \""confidence\"": \""medium\""}""}]",17
403,31,mid,moderate_entry_barrier,Sales & Business Development,"['customer service', 'sales', 'business development']","['implement', 'maintain']",medium,0.667,0.667,0.333,0.556,3,"sales, representative, customer, specialist, development, business, support, inside, service, manager, director, lead","[{""community_id"": 403, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Business Development"", ""defining_skills"": [""sales"", ""business development"", ""customer service""], ""defining_responsibility_signals"": [""implement"", ""maintain""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 403, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Business Development\"", \""defining_skills\"": [\""sales\"", \""business development\"", \""customer service\""], \""defining_responsibility_signals\"": [\""implement\"", \""maintain\""], \""confidence\"": \""medium\""}""}, {""community_id"": 403, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Customer Service Representatives"", ""defining_skills"": [""customer service"", ""inquiry resolution"", ""technology usage""], ""defining_responsibility_signals"": [""triage incoming inquiries"", ""address root cause""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 403, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Customer Service Representatives\"", \""defining_skills\"": [\""customer service\"", \""inquiry resolution\"", \""technology usage\""], \""defining_responsibility_signals\"": [\""triage incoming inquiries\"", \""address root cause\""], \""confidence\"": \""medium\""}""}, {""community_id"": 403, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Customer Service"", ""defining_skills"": [""sales"", ""customer service"", ""business development""], ""defining_responsibility_signals"": [""representative"", ""support""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 403, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Customer Service\"", \""defining_skills\"": [\""sales\"", \""customer service\"", \""business development\""], \""defining_responsibility_signals\"": [\""representative\"", \""support\""], \""confidence\"": \""medium\""}""}]",17
404,31,junior,clear_entry_point,Inventory Control Clerks,"['inventory management', 'record keeping', 'training others']","['follow procedures', 'verify inventory changes']",high,1.0,1.0,0.333,0.778,3,"inventory, specialist, control, clerk, supply, chain, operator, analyst, cycle, counter, forklift, production","[{""community_id"": 404, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Inventory Control Clerks"", ""defining_skills"": [""inventory management"", ""record keeping"", ""training others""], ""defining_responsibility_signals"": [""follow procedures"", ""verify inventory changes""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 404, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Inventory Control Clerks\"", \""defining_skills\"": [\""inventory management\"", \""record keeping\"", \""training others\""], \""defining_responsibility_signals\"": [\""follow procedures\"", \""verify inventory changes\""], \""confidence\"": \""high\""}""}, {""community_id"": 404, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Inventory Control"", ""defining_skills"": [""inventory management"", ""supply chain"", ""forklift operation""], ""defining_responsibility_signals"": [""inventory control"", ""supply chain management""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 404, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Inventory Control\"", \""defining_skills\"": [\""inventory management\"", \""supply chain\"", \""forklift operation\""], \""defining_responsibility_signals\"": [\""inventory control\"", \""supply chain management\""], \""confidence\"": \""high\""}""}, {""community_id"": 404, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Supply Chain Clerks"", ""defining_skills"": [""inventory management"", ""supply chain operations"", ""warehouse equipment""], ""defining_responsibility_signals"": [""execute tasks"", ""follow procedures""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 404, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Supply Chain Clerks\"", \""defining_skills\"": [\""inventory management\"", \""supply chain operations\"", \""warehouse equipment\""], \""defining_responsibility_signals\"": [\""execute tasks\"", \""follow procedures\""], \""confidence\"": \""medium\""}""}]",17
405,31,senior,moderate_entry_barrier,Sales Management,"['business development', 'sales', 'operations management']","['lead', 'manage teams']",high,0.667,0.667,0.333,0.556,3,"manager, sales, regional, business, senior, development, operations, director, program, management, tech, vice","[{""community_id"": 405, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales Management"", ""defining_skills"": [""sales"", ""business development"", ""operations management""], ""defining_responsibility_signals"": [""lead"", ""manage teams""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 405, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales Management\"", \""defining_skills\"": [\""sales\"", \""business development\"", \""operations management\""], \""defining_responsibility_signals\"": [\""lead\"", \""manage teams\""], \""confidence\"": \""high\""}""}, {""community_id"": 405, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""restricted_entry_point"", ""community_label"": ""Senior Business Development"", ""defining_skills"": [""business development"", ""program management"", ""pipeline development""], ""defining_responsibility_signals"": [""leadership"", ""strategic planning""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 405, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""restricted_entry_point\"", \""community_label\"": \""Senior Business Development\"", \""defining_skills\"": [\""business development\"", \""program management\"", \""pipeline development\""], \""defining_responsibility_signals\"": [\""leadership\"", \""strategic planning\""], \""confidence\"": \""high\""}""}, {""community_id"": 405, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Senior Supply Chain Management"", ""defining_skills"": [""supply chain management"", ""leadership"", ""strategic planning""], ""defining_responsibility_signals"": [""define direction"", ""make strategic decisions""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 405, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Senior Supply Chain Management\"", \""defining_skills\"": [\""supply chain management\"", \""leadership\"", \""strategic planning\""], \""defining_responsibility_signals\"": [\""define direction\"", \""make strategic decisions\""], \""confidence\"": \""high\""}""}]",17
406,31,mid,moderate_entry_barrier,Key Account Managers,"['account management', 'sales', 'customer success']","['manage key accounts', 'drive revenue']",medium,1.0,1.0,0.333,0.778,3,"account, manager, key, customer, automotive, sales, commercial, success, executive, coordinator, construction, mso","[{""community_id"": 406, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Key Account Managers"", ""defining_skills"": [""account management"", ""sales"", ""customer relationship""], ""defining_responsibility_signals"": [""drive revenue"", ""identify opportunities""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 406, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Key Account Managers\"", \""defining_skills\"": [\""account management\"", \""sales\"", \""customer relationship\""], \""defining_responsibility_signals\"": [\""drive revenue\"", \""identify opportunities\""], \""confidence\"": \""high\""}""}, {""community_id"": 406, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Automotive Sales Managers"", ""defining_skills"": [""account management"", ""customer success"", ""sales strategy""], ""defining_responsibility_signals"": [""manage key accounts"", ""drive commercial success""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 406, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Automotive Sales Managers\"", \""defining_skills\"": [\""account management\"", \""customer success\"", \""sales strategy\""], \""defining_responsibility_signals\"": [\""manage key accounts\"", \""drive commercial success\""], \""confidence\"": \""medium\""}""}, {""community_id"": 406, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Account Managers"", ""defining_skills"": [""account management"", ""customer success"", ""sales""], ""defining_responsibility_signals"": [""manage key accounts"", ""coordinate with teams""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 406, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Account Managers\"", \""defining_skills\"": [\""account management\"", \""customer success\"", \""sales\""], \""defining_responsibility_signals\"": [\""manage key accounts\"", \""coordinate with teams\""], \""confidence\"": \""medium\""}""}]",17
407,31,mid,moderate_entry_barrier,Supply Chain Management,"['procurement', 'supply chain', 'logistics']","['implement processes', 'coordinate teams']",medium,1.0,1.0,1.0,1.0,3,"supply, chain, manager, specialist, procurement, senior, management, support, administrator, administrative, coordinator, analyst","[{""community_id"": 407, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""procurement"", ""supply chain"", ""logistics""], ""defining_responsibility_signals"": [""implement processes"", ""coordinate teams""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 407, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""procurement\"", \""supply chain\"", \""logistics\""], \""defining_responsibility_signals\"": [\""implement processes\"", \""coordinate teams\""], \""confidence\"": \""medium\""}""}, {""community_id"": 407, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""procurement"", ""supply chain"", ""specialist""], ""defining_responsibility_signals"": [""coordinate"", ""support""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 407, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""procurement\"", \""supply chain\"", \""specialist\""], \""defining_responsibility_signals\"": [\""coordinate\"", \""support\""], \""confidence\"": \""medium\""}""}, {""community_id"": 407, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""manufacturing planning"", ""capacity routing"", ""work center allocation""], ""defining_responsibility_signals"": [""define and regulate bowlers for schedule attainment"", ""load the work center""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 407, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""manufacturing planning\"", \""capacity routing\"", \""work center allocation\""], \""defining_responsibility_signals\"": [\""define and regulate bowlers for schedule attainment\"", \""load the work center\""], \""confidence\"": \""medium\""}""}]",17
408,31,junior,moderate_entry_barrier,Physical Therapy Assistants,"['patient care', 'physical therapy', 'therapy techniques']","['assist physical therapists', 'provide patient care']",medium,1.0,1.0,0.333,0.778,3,"physical, therapist, prn, assistant, pta, medical, patient, therapy, office, services, laboratory, rehab","[{""community_id"": 408, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Physical Therapy Assistants"", ""defining_skills"": [""physical therapy"", ""patient care"", ""therapy techniques""], ""defining_responsibility_signals"": [""assist physical therapists"", ""provide patient care""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 408, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Physical Therapy Assistants\"", \""defining_skills\"": [\""physical therapy\"", \""patient care\"", \""therapy techniques\""], \""defining_responsibility_signals\"": [\""assist physical therapists\"", \""provide patient care\""], \""confidence\"": \""medium\""}""}, {""community_id"": 408, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Physical Therapist Assistants"", ""defining_skills"": [""physical therapy"", ""patient care"", ""therapy techniques""], ""defining_responsibility_signals"": [""assist physical therapists"", ""provide patient care""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 408, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Physical Therapist Assistants\"", \""defining_skills\"": [\""physical therapy\"", \""patient care\"", \""therapy techniques\""], \""defining_responsibility_signals\"": [\""assist physical therapists\"", \""provide patient care\""], \""confidence\"": \""medium\""}""}, {""community_id"": 408, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Assistants"", ""defining_skills"": [""certification"", ""patient care"", ""therapy assistance""], ""defining_responsibility_signals"": [""assist"", ""support""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 408, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Assistants\"", \""defining_skills\"": [\""certification\"", \""patient care\"", \""therapy assistance\""], \""defining_responsibility_signals\"": [\""assist\"", \""support\""], \""confidence\"": \""medium\""}""}]",17
409,31,senior,restricted_entry_point,Strategic Sourcing Manager,"['strategic sourcing', 'supplier quality', 'project management']","['leads a team', 'oversee strategic support']",high,0.667,0.667,0.333,0.556,3,"supply, chain, manager, sourcing, procurement, planner, senior, director, specialist, strategic, intern, planning","[{""community_id"": 409, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""restricted_entry_point"", ""community_label"": ""Strategic Sourcing Manager"", ""defining_skills"": [""strategic sourcing"", ""supplier quality"", ""project management""], ""defining_responsibility_signals"": [""leads a team"", ""oversee strategic support""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 409, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""restricted_entry_point\"", \""community_label\"": \""Strategic Sourcing Manager\"", \""defining_skills\"": [\""strategic sourcing\"", \""supplier quality\"", \""project management\""], \""defining_responsibility_signals\"": [\""leads a team\"", \""oversee strategic support\""], \""confidence\"": \""high\""}""}, {""community_id"": 409, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""restricted_entry_point"", ""community_label"": ""Senior Supply Chain"", ""defining_skills"": [""strategic planning"", ""supply chain optimization"", ""leadership""], ""defining_responsibility_signals"": [""develop and execute strategic plans"", ""ensure efficiency""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 409, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""restricted_entry_point\"", \""community_label\"": \""Senior Supply Chain\"", \""defining_skills\"": [\""strategic planning\"", \""supply chain optimization\"", \""leadership\""], \""defining_responsibility_signals\"": [\""develop and execute strategic plans\"", \""ensure efficiency\""], \""confidence\"": \""high\""}""}, {""community_id"": 409, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""strategic sourcing"", ""supplier quality"", ""project management""], ""defining_responsibility_signals"": [""leads a team"", ""oversee strategic support""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 409, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""strategic sourcing\"", \""supplier quality\"", \""project management\""], \""defining_responsibility_signals\"": [\""leads a team\"", \""oversee strategic support\""], \""confidence\"": \""high\""}""}]",17
