community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
475,28,mid,moderate_entry_barrier,Water/Wastewater Engineer,"['project management', 'water/wastewater engineering', 'civil infrastructure']","['lead projects', 'manage resources']",high,1.0,1.0,0.667,0.889,3,"water, wastewater, engineer, project, manager, resources, graduate, plumbing, civil, eit, lead, mechanical","[{""community_id"": 475, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Wastewater Project Managers"", ""defining_skills"": [""water/wastewater engineering"", ""project management"", ""civil infrastructure""], ""defining_responsibility_signals"": [""lead projects"", ""manage resources""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 475, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Wastewater Project Managers\"", \""defining_skills\"": [\""water/wastewater engineering\"", \""project management\"", \""civil infrastructure\""], \""defining_responsibility_signals\"": [\""lead projects\"", \""manage resources\""], \""confidence\"": \""high\""}""}, {""community_id"": 475, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Water/Wastewater Engineer"", ""defining_skills"": [""project management"", ""civil engineering"", ""water resources""], ""defining_responsibility_signals"": [""lead projects"", ""manage resources""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 475, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Water/Wastewater Engineer\"", \""defining_skills\"": [\""project management\"", \""civil engineering\"", \""water resources\""], \""defining_responsibility_signals\"": [\""lead projects\"", \""manage resources\""], \""confidence\"": \""medium\""}""}, {""community_id"": 475, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Water/Wastewater Engineer"", ""defining_skills"": [""water/wastewater engineering"", ""project management"", ""technical plans and specifications""], ""defining_responsibility_signals"": [""lead the preparation of studies and reports"", ""coordinate and develop technical plans""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 475, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Water/Wastewater Engineer\"", \""defining_skills\"": [\""water/wastewater engineering\"", \""project management\"", \""technical plans and specifications\""], \""defining_responsibility_signals\"": [\""lead the preparation of studies and reports\"", \""coordinate and develop technical plans\""], \""confidence\"": \""high\""}""}]",20
476,28,junior,moderate_entry_barrier,Security Technicians,"['security work', 'shift work', 'machine operation']","['part-time work', 'local training programs']",medium,1.0,1.0,1.0,1.0,3,"security, work, shift, technician, phlebotomist, supervisor, machine, operator, 3rd, maintenance, sundays, overnights","[{""community_id"": 476, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Security Technicians"", ""defining_skills"": [""security work"", ""shift work"", ""machine operation""], ""defining_responsibility_signals"": [""part-time work"", ""local training programs""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 476, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Security Technicians\"", \""defining_skills\"": [\""security work\"", \""shift work\"", \""machine operation\""], \""defining_responsibility_signals\"": [\""part-time work\"", \""local training programs\""], \""confidence\"": \""medium\""}""}, {""community_id"": 476, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Security Technicians"", ""defining_skills"": [""security work"", ""shift work"", ""technician skills""], ""defining_responsibility_signals"": [""part-time work"", ""local training programs""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 476, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Security Technicians\"", \""defining_skills\"": [\""security work\"", \""shift work\"", \""technician skills\""], \""defining_responsibility_signals\"": [\""part-time work\"", \""local training programs\""], \""confidence\"": \""medium\""}""}, {""community_id"": 476, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Security Technicians"", ""defining_skills"": [""security"", ""machine"", ""operator""], ""defining_responsibility_signals"": [""supervisor"", ""shift""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 476, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Security Technicians\"", \""defining_skills\"": [\""security\"", \""machine\"", \""operator\""], \""defining_responsibility_signals\"": [\""supervisor\"", \""shift\""], \""confidence\"": \""medium\""}""}]",20
477,28,junior,clear_entry_point,Auto Body Technician,"['auto body repair', 'vehicle safety', 'state-of-the-art equipment']","['repair vehicles', 'remove damaged parts']",high,1.0,1.0,1.0,1.0,3,"technician, auto, body, driver, shuttle, automotive, apprentice, painter, helper, service, advisor, program","[{""community_id"": 477, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Auto Body Technician"", ""defining_skills"": [""auto body repair"", ""vehicle safety"", ""state-of-the-art equipment""], ""defining_responsibility_signals"": [""repair vehicles"", ""remove damaged parts""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 477, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Auto Body Technician\"", \""defining_skills\"": [\""auto body repair\"", \""vehicle safety\"", \""state-of-the-art equipment\""], \""defining_responsibility_signals\"": [\""repair vehicles\"", \""remove damaged parts\""], \""confidence\"": \""high\""}""}, {""community_id"": 477, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Auto Body Technician"", ""defining_skills"": [""auto body repair"", ""vehicle safety"", ""state-of-the-art equipment""], ""defining_responsibility_signals"": [""repair vehicles"", ""remove damaged parts""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 477, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Auto Body Technician\"", \""defining_skills\"": [\""auto body repair\"", \""vehicle safety\"", \""state-of-the-art equipment\""], \""defining_responsibility_signals\"": [\""repair vehicles\"", \""remove damaged parts\""], \""confidence\"": \""high\""}""}, {""community_id"": 477, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Auto Body Technician"", ""defining_skills"": [""auto body repair"", ""vehicle safety"", ""state-of-the-art equipment""], ""defining_responsibility_signals"": [""repair vehicles"", ""remove damaged parts""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 477, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Auto Body Technician\"", \""defining_skills\"": [\""auto body repair\"", \""vehicle safety\"", \""state-of-the-art equipment\""], \""defining_responsibility_signals\"": [\""repair vehicles\"", \""remove damaged parts\""], \""confidence\"": \""high\""}""}]",20
478,28,junior,clear_entry_point,Manufacturing Sanitation,"['machine operation', 'sanitation', 'shift work']","['full-time position', 'opportunities for advancement']",high,1.0,1.0,0.667,0.889,3,"shift, operator, machine, sanitation, 2nd, 1st, 3rd, tech, service, technician, forklift, line","[{""community_id"": 478, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Machine Operators"", ""defining_skills"": [""machine operation"", ""forklift"", ""sanitation""], ""defining_responsibility_signals"": [""shift work"", ""line operation""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 478, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Machine Operators\"", \""defining_skills\"": [\""machine operation\"", \""forklift\"", \""sanitation\""], \""defining_responsibility_signals\"": [\""shift work\"", \""line operation\""], \""confidence\"": \""high\""}""}, {""community_id"": 478, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Manufacturing Sanitation"", ""defining_skills"": [""sanitation"", ""machine operation"", ""shift work""], ""defining_responsibility_signals"": [""full-time position"", ""opportunities for advancement""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 478, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Manufacturing Sanitation\"", \""defining_skills\"": [\""sanitation\"", \""machine operation\"", \""shift work\""], \""defining_responsibility_signals\"": [\""full-time position\"", \""opportunities for advancement\""], \""confidence\"": \""high\""}""}, {""community_id"": 478, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Manufacturing Sanitation"", ""defining_skills"": [""sanitation"", ""machine operation"", ""shift work""], ""defining_responsibility_signals"": [""full-time position"", ""opportunities for advancement""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 478, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Manufacturing Sanitation\"", \""defining_skills\"": [\""sanitation\"", \""machine operation\"", \""shift work\""], \""defining_responsibility_signals\"": [\""full-time position\"", \""opportunities for advancement\""], \""confidence\"": \""high\""}""}]",20
479,28,junior,clear_entry_point,HVAC Technician,"['HVAC', 'HVACR', 'Technician']","['Service', 'Maintain']",high,1.0,1.0,1.0,1.0,3,"hvac, technician, service, engineer, watch, hvacr, controls, apprentice, commercial, plant, assistant, senior","[{""community_id"": 479, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""HVAC Technician"", ""defining_skills"": [""HVAC"", ""HVACR"", ""Technician""], ""defining_responsibility_signals"": [""Service"", ""Maintain""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 479, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""HVAC Technician\"", \""defining_skills\"": [\""HVAC\"", \""HVACR\"", \""Technician\""], \""defining_responsibility_signals\"": [\""Service\"", \""Maintain\""], \""confidence\"": \""high\""}""}, {""community_id"": 479, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""HVAC Technician"", ""defining_skills"": [""HVAC"", ""HVACR"", ""Technician""], ""defining_responsibility_signals"": [""Service"", ""Maintain""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 479, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""HVAC Technician\"", \""defining_skills\"": [\""HVAC\"", \""HVACR\"", \""Technician\""], \""defining_responsibility_signals\"": [\""Service\"", \""Maintain\""], \""confidence\"": \""high\""}""}, {""community_id"": 479, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""HVAC Technician"", ""defining_skills"": [""HVAC"", ""HVACR"", ""controls""], ""defining_responsibility_signals"": [""service"", ""repair""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 479, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""HVAC Technician\"", \""defining_skills\"": [\""HVAC\"", \""HVACR\"", \""controls\""], \""defining_responsibility_signals\"": [\""service\"", \""repair\""], \""confidence\"": \""high\""}""}]",20
480,28,mid,moderate_entry_barrier,Medical Sales,"['territory management', 'sales', 'pharmaceutical industry knowledge']","['implement sales strategies', 'coordinate with medical professionals']",medium,1.0,1.0,0.667,0.889,3,"territory, manager, sales, representative, specialist, medical, surgical, pharmaceutical, business, greater, boston, regional","[{""community_id"": 480, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Sales"", ""defining_skills"": [""sales"", ""territory management"", ""pharmaceutical industry knowledge""], ""defining_responsibility_signals"": [""implement sales strategies"", ""coordinate with medical professionals""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 480, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Sales\"", \""defining_skills\"": [\""sales\"", \""territory management\"", \""pharmaceutical industry knowledge\""], \""defining_responsibility_signals\"": [\""implement sales strategies\"", \""coordinate with medical professionals\""], \""confidence\"": \""medium\""}""}, {""community_id"": 480, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Territory Business Manager"", ""defining_skills"": [""territory management"", ""business development"", ""pharmaceutical sales""], ""defining_responsibility_signals"": [""drive medical advancements"", ""join team""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 480, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Territory Business Manager\"", \""defining_skills\"": [\""territory management\"", \""business development\"", \""pharmaceutical sales\""], \""defining_responsibility_signals\"": [\""drive medical advancements\"", \""join team\""], \""confidence\"": \""medium\""}""}, {""community_id"": 480, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Sales"", ""defining_skills"": [""sales"", ""territory management"", ""pharmaceutical industry knowledge""], ""defining_responsibility_signals"": [""manage territory"", ""represent business""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 480, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Sales\"", \""defining_skills\"": [\""sales\"", \""territory management\"", \""pharmaceutical industry knowledge\""], \""defining_responsibility_signals\"": [\""manage territory\"", \""represent business\""], \""confidence\"": \""medium\""}""}]",20
481,28,mid,moderate_entry_barrier,Office Program Analysts,"['analyst', 'services', 'specialist']","['support', 'accountability']",medium,1.0,1.0,0.333,0.778,3,"analyst, specialist, services, technician, training, information, technology, staff, lead, program, manager, office","[{""community_id"": 481, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Office Program Analysts"", ""defining_skills"": [""analyst"", ""specialist"", ""services""], ""defining_responsibility_signals"": [""support"", ""accountability""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 481, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Office Program Analysts\"", \""defining_skills\"": [\""analyst\"", \""specialist\"", \""services\""], \""defining_responsibility_signals\"": [\""support\"", \""accountability\""], \""confidence\"": \""medium\""}""}, {""community_id"": 481, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Staff Services Analysts"", ""defining_skills"": [""analyst"", ""services"", ""technician""], ""defining_responsibility_signals"": [""staff"", ""equal opportunity employer""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 481, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Staff Services Analysts\"", \""defining_skills\"": [\""analyst\"", \""services\"", \""technician\""], \""defining_responsibility_signals\"": [\""staff\"", \""equal opportunity employer\""], \""confidence\"": \""medium\""}""}, {""community_id"": 481, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Office Support Services"", ""defining_skills"": [""office assistant"", ""equal opportunity employer"", ""california state employer""], ""defining_responsibility_signals"": [""assist"", ""support""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 481, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Office Support Services\"", \""defining_skills\"": [\""office assistant\"", \""equal opportunity employer\"", \""california state employer\""], \""defining_responsibility_signals\"": [\""assist\"", \""support\""], \""confidence\"": \""medium\""}""}]",20
482,28,mid,moderate_entry_barrier,Sales Consultant,"['sales', 'consulting', 'customer relationship']","['off-premise sales', 'career development']",medium,1.0,1.0,0.667,0.889,3,"premise, manager, off, development, sales, consultant, cpws, business, diageo, whiskey, tequila, area","[{""community_id"": 482, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales Consultant"", ""defining_skills"": [""sales"", ""consulting"", ""customer relationship""], ""defining_responsibility_signals"": [""off-premise sales"", ""career development""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 482, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales Consultant\"", \""defining_skills\"": [\""sales\"", \""consulting\"", \""customer relationship\""], \""defining_responsibility_signals\"": [\""off-premise sales\"", \""career development\""], \""confidence\"": \""medium\""}""}, {""community_id"": 482, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Business Development"", ""defining_skills"": [""sales"", ""business development"", ""consultant""], ""defining_responsibility_signals"": [""define direction"", ""make strategic decisions""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 482, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Business Development\"", \""defining_skills\"": [\""sales\"", \""business development\"", \""consultant\""], \""defining_responsibility_signals\"": [\""define direction\"", \""make strategic decisions\""], \""confidence\"": \""medium\""}""}, {""community_id"": 482, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales Consultant"", ""defining_skills"": [""sales"", ""consulting"", ""distribution""], ""defining_responsibility_signals"": [""work for an industry-leader"", ""open your future to incredible career potential""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 482, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales Consultant\"", \""defining_skills\"": [\""sales\"", \""consulting\"", \""distribution\""], \""defining_responsibility_signals\"": [\""work for an industry-leader\"", \""open your future to incredible career potential\""], \""confidence\"": \""medium\""}""}]",20
483,28,junior,moderate_entry_barrier,Clinical Nurses,"['surgical', 'clinical', 'patient care']","['registered nurse', 'non-procedural']",medium,1.0,1.0,1.0,1.0,3,"bonus, 000, 30p, surgical, clinical, nurse, 30a, patient, bethesda, east, registered, specialty","[{""community_id"": 483, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Clinical Nurses"", ""defining_skills"": [""surgical"", ""clinical"", ""patient care""], ""defining_responsibility_signals"": [""registered nurse"", ""non-procedural""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 483, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Clinical Nurses\"", \""defining_skills\"": [\""surgical\"", \""clinical\"", \""patient care\""], \""defining_responsibility_signals\"": [\""registered nurse\"", \""non-procedural\""], \""confidence\"": \""high\""}""}, {""community_id"": 483, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Clinical Nurses"", ""defining_skills"": [""surgical"", ""clinical"", ""patient care""], ""defining_responsibility_signals"": [""non-procedural"", ""sign-on bonus""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 483, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Clinical Nurses\"", \""defining_skills\"": [\""surgical\"", \""clinical\"", \""patient care\""], \""defining_responsibility_signals\"": [\""non-procedural\"", \""sign-on bonus\""], \""confidence\"": \""medium\""}""}, {""community_id"": 483, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Clinical Nurses"", ""defining_skills"": [""surgical"", ""clinical"", ""patient care""], ""defining_responsibility_signals"": [""registered nurse"", ""specialty non-procedural""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 483, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Clinical Nurses\"", \""defining_skills\"": [\""surgical\"", \""clinical\"", \""patient care\""], \""defining_responsibility_signals\"": [\""registered nurse\"", \""specialty non-procedural\""], \""confidence\"": \""medium\""}""}]",20
484,27,mid,moderate_entry_barrier,Travel ICU/CCU Nurse,"['ICU/CCU care', 'Progressive Care Unit (PCU) experience', 'Critical care nursing']","['Caring for patients in ICU/CCU', 'Transitional care from ICU to PCU']",high,1.0,0.667,0.333,0.667,3,"nurse, care, unit, registered, travel, per, icu, intensive, patient, progressive, week, pcu","[{""community_id"": 484, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""restricted_entry_point"", ""community_label"": ""Travel ICU/CCU Nurse"", ""defining_skills"": [""ICU/CCU care"", ""Progressive Care Unit (PCU) experience"", ""Critical care nursing""], ""defining_responsibility_signals"": [""Caring for patients in ICU/CCU"", ""Transitional care from ICU to PCU""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 484, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""restricted_entry_point\"", \""community_label\"": \""Travel ICU/CCU Nurse\"", \""defining_skills\"": [\""ICU/CCU care\"", \""Progressive Care Unit (PCU) experience\"", \""Critical care nursing\""], \""defining_responsibility_signals\"": [\""Caring for patients in ICU/CCU\"", \""Transitional care from ICU to PCU\""], \""confidence\"": \""high\""}""}, {""community_id"": 484, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Travel Nurse"", ""defining_skills"": [""SICU"", ""ICU"", ""RN""], ""defining_responsibility_signals"": [""care"", ""patient""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 484, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Travel Nurse\"", \""defining_skills\"": [\""SICU\"", \""ICU\"", \""RN\""], \""defining_responsibility_signals\"": [\""care\"", \""patient\""], \""confidence\"": \""high\""}""}, {""community_id"": 484, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Travel Nurse PCU"", ""defining_skills"": [""RN license"", ""ICU/PCU experience"", ""IV therapy""], ""defining_responsibility_signals"": [""Provide patient care"", ""Collaborate with team""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 484, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Travel Nurse PCU\"", \""defining_skills\"": [\""RN license\"", \""ICU/PCU experience\"", \""IV therapy\""], \""defining_responsibility_signals\"": [\""Provide patient care\"", \""Collaborate with team\""], \""confidence\"": \""medium\""}""}]",20
